latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-30.998,146.634,328.2,1.9,1.4,2020-01-26,00:45,T,74,6.0NRT,299,31,D
-22.297,147.236,311.7,1.6,1.3,2020-01-26,00:45,T,23,6.0NRT,288.5,10.7,D
-23.168,143.947,317.2,1.1,1,2020-01-26,00:45,T,52,6.0NRT,295.6,10.4,D
-25.447,151.641,316.5,3.7,1.8,2020-01-26,00:45,T,30,6.0NRT,293.2,56,D
-30.996,146.614,327.3,1.9,1.4,2020-01-26,00:45,T,67,6.0NRT,299.3,30.5,D
-35.781,149.872,330.8,3.6,1.8,2020-01-26,00:50,T,78,6.0NRT,302,120.6,D
-35.773,149.867,327.2,3.6,1.8,2020-01-26,00:50,T,58,6.0NRT,302.5,90.9,D
-35.789,149.866,323.9,3.6,1.8,2020-01-26,00:50,T,44,6.0NRT,301.2,69.4,D
-35.826,149.658,345.5,3.4,1.7,2020-01-26,00:50,T,91,6.0NRT,305.6,261.5,D
-35.842,149.657,398.5,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,310.5,1407.6,D
-35.844,149.701,333,3.5,1.8,2020-01-26,00:50,T,77,6.0NRT,301.3,127.5,D
-35.858,149.657,390.3,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,310.9,1136.9,D
-35.861,149.701,331.1,3.5,1.8,2020-01-26,00:50,T,72,6.0NRT,301.8,109.7,D
-35.874,149.655,432.8,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,318.8,3027.3,D
-35.876,149.696,392.2,3.5,1.8,2020-01-26,00:50,T,100,6.0NRT,304.6,1199.3,D
-35.89,149.653,369,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,305.9,615.4,D
-35.892,149.692,349.9,3.5,1.8,2020-01-26,00:50,T,94,6.0NRT,298.6,308.8,D
-35.835,149.651,380.2,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,311.1,865.5,D
-35.837,149.695,343.3,3.5,1.8,2020-01-26,00:50,T,90,6.0NRT,302.7,223.8,D
-35.851,149.65,370.8,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,308.2,651.4,D
-35.867,149.649,408.6,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,315,1795.3,D
-35.869,149.691,387.6,3.5,1.8,2020-01-26,00:50,T,100,6.0NRT,306.1,1068.1,D
-35.883,149.647,402,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,312.4,1541.1,D
-35.885,149.686,396.3,3.5,1.8,2020-01-26,00:50,T,100,6.0NRT,305,1347.6,D
-36.001,149.327,380.2,3.3,1.7,2020-01-26,00:50,T,100,6.0NRT,311.8,810.6,D
-36.003,149.363,360.1,3.3,1.7,2020-01-26,00:50,T,100,6.0NRT,308.7,431.4,D
-36.019,149.361,319.4,3.3,1.7,2020-01-26,00:50,T,31,6.0NRT,302.9,39.3,D
-35.996,149.321,350.9,3.3,1.7,2020-01-26,00:50,T,95,6.0NRT,309.5,299.9,D
-35.998,149.357,348.8,3.3,1.7,2020-01-26,00:50,T,93,6.0NRT,310,276.9,D
-36.012,149.32,348,3.3,1.7,2020-01-26,00:50,T,93,6.0NRT,306.4,269.4,D
-36.013,149.355,355,3.3,1.7,2020-01-26,00:50,T,97,6.0NRT,304.6,361,D
-36.201,149.41,323.1,3.4,1.7,2020-01-26,00:50,T,66,6.0NRT,306.4,55.8,D
-36.21,149.402,319.5,3.4,1.7,2020-01-26,00:50,T,45,6.0NRT,305.4,35.3,D
-36.212,149.441,321.1,3.4,1.7,2020-01-26,00:50,T,48,6.0NRT,309.5,47.5,D
-36.386,149.537,351.6,3.4,1.7,2020-01-26,00:50,T,95,6.0NRT,305.7,349.3,D
-36.389,149.582,323.3,3.4,1.7,2020-01-26,00:50,T,69,6.0NRT,303,85.8,D
-36.379,149.531,316.8,3.4,1.7,2020-01-26,00:50,T,18,6.0NRT,303.8,43,D
-36.395,149.529,343.1,3.4,1.7,2020-01-26,00:50,T,90,6.0NRT,304.2,244.5,D
-36.398,149.573,328.5,3.4,1.7,2020-01-26,00:50,T,78,6.0NRT,302.7,120.2,D
-36.72,149.412,318.2,3.4,1.7,2020-01-26,00:50,T,20,6.0NRT,302.1,52.3,D
-36.722,149.45,352.7,3.4,1.7,2020-01-26,00:50,T,96,6.0NRT,302.2,367.1,D
-36.736,149.411,316.8,3.4,1.7,2020-01-26,00:50,T,28,6.0NRT,301.9,48.7,D
-36.738,149.449,318,3.4,1.7,2020-01-26,00:50,T,48,6.0NRT,299.8,60.1,D
-36.731,149.442,352.2,3.4,1.7,2020-01-26,00:50,T,96,6.0NRT,302.2,354.3,D
-36.733,149.483,323.2,3.4,1.7,2020-01-26,00:50,T,34,6.0NRT,297.7,81.6,D
-37.036,149.411,344.6,3.4,1.7,2020-01-26,00:50,T,92,6.0NRT,299.2,272.7,D
-37.038,149.453,328.1,3.4,1.7,2020-01-26,00:50,T,81,6.0NRT,297.1,130,D
-37.029,149.406,335.1,3.4,1.7,2020-01-26,00:50,T,87,6.0NRT,298.6,180.9,D
-37.031,149.449,330.5,3.4,1.7,2020-01-26,00:50,T,83,6.0NRT,297.7,149.6,D
-37.045,149.404,318.6,3.4,1.7,2020-01-26,00:50,T,63,6.0NRT,298.3,66.4,D
-37.047,149.448,330.2,3.4,1.7,2020-01-26,00:50,T,83,6.0NRT,298.5,147.4,D
-37.063,149.448,368.1,3.4,1.7,2020-01-26,00:50,T,100,6.0NRT,302.2,622.6,D
-37.065,149.488,328.9,3.4,1.7,2020-01-26,00:50,T,76,6.0NRT,298.5,124.4,D
-37.072,149.438,337.7,3.4,1.7,2020-01-26,00:50,T,88,6.0NRT,300,203.6,D
-37.074,149.482,325,3.4,1.7,2020-01-26,00:50,T,74,6.0NRT,300,97.1,D
-37.21,149.15,327.7,3.3,1.7,2020-01-26,00:50,T,81,6.0NRT,296,127.7,D
-37.225,149.149,327.2,3.3,1.7,2020-01-26,00:50,T,80,6.0NRT,296.1,121.1,D
-37.284,149.071,324.9,3.3,1.7,2020-01-26,00:50,T,69,6.0NRT,296.7,103.7,D
-37.286,149.11,321.1,3.3,1.7,2020-01-26,00:50,T,65,6.0NRT,297.5,77.3,D
-37.278,149.063,317.3,3.3,1.7,2020-01-26,00:50,T,51,6.0NRT,296.2,64.3,D
-37.28,149.103,327.5,3.3,1.7,2020-01-26,00:50,T,81,6.0NRT,297.3,119.5,D
-37.413,149.319,326.7,3.4,1.7,2020-01-26,00:50,T,81,6.0NRT,296.2,123.4,D
-37.676,148.942,317.6,3.2,1.7,2020-01-26,00:50,T,72,6.0NRT,296.8,59.5,D
-37.671,148.937,312.7,3.2,1.7,2020-01-26,00:50,T,29,6.0NRT,296.3,33.9,D
-37.687,148.936,313,3.2,1.7,2020-01-26,00:50,T,25,6.0NRT,296.9,35.9,D
-35.853,149.693,339.9,3.5,1.8,2020-01-26,00:50,T,87,6.0NRT,301.4,188.9,D
-34.717,150.265,333.9,3.7,1.8,2020-01-26,00:50,T,74,6.0NRT,292,182.5,D
-34.723,150.258,328.5,3.7,1.8,2020-01-26,00:50,T,64,6.0NRT,292.3,135.8,D
-35.285,149.98,329.5,3.6,1.8,2020-01-26,00:50,T,73,6.0NRT,305.8,98.6,D
-35.276,149.976,329.8,3.6,1.8,2020-01-26,00:50,T,74,6.0NRT,306.8,101.9,D
-33.581,118.34,337.8,1.3,1.1,2020-01-26,02:25,T,82,6.0NRT,313,30.2,D
-20.931,117.819,340.2,1,1,2020-01-26,02:25,T,80,6.0NRT,321.1,18.6,D
-20.932,117.829,335.6,1,1,2020-01-26,02:25,T,39,6.0NRT,320.4,10.6,D
-20.94,117.818,337.8,1,1,2020-01-26,02:25,T,54,6.0NRT,320.2,14.1,D
-21.939,116.506,369,1,1,2020-01-26,02:25,T,100,6.0NRT,320.3,90.6,D
-21.941,116.516,402.9,1,1,2020-01-26,02:25,T,100,6.0NRT,327.8,252.9,D
-21.942,116.526,348.5,1,1,2020-01-26,02:25,T,90,6.0NRT,322.5,32,D
-21.944,116.535,339.4,1,1,2020-01-26,02:25,T,63,6.0NRT,320.4,15.5,D
-21.948,116.504,359.7,1,1,2020-01-26,02:25,T,99,6.0NRT,316.5,61.6,D
-21.95,116.514,390,1,1,2020-01-26,02:25,T,100,6.0NRT,323.6,178.5,D
-21.951,116.524,338,1,1,2020-01-26,02:25,T,41,6.0NRT,319.2,12,D
-21.959,116.513,368.7,1,1,2020-01-26,02:25,T,100,6.0NRT,317.7,87.4,D
-32.067,115.909,326.8,1,1,2020-01-26,02:25,T,58,6.0NRT,306.9,7.1,D
-36.389,149.538,372,2.4,1.5,2020-01-26,03:25,A,100,6.0NRT,312.6,385.8,D
-34.78,150.212,329.5,2.1,1.4,2020-01-26,03:25,A,54,6.0NRT,305.5,40.3,D
-34.804,150.076,346.3,2.1,1.4,2020-01-26,03:25,A,90,6.0NRT,308.4,116.4,D
-34.802,150.098,350.4,2.1,1.4,2020-01-26,03:25,A,93,6.0NRT,306.6,138.7,D
-34.817,150.078,343.2,2.1,1.4,2020-01-26,03:25,A,88,6.0NRT,309.5,98.5,D
-34.815,150.101,368.9,2.1,1.4,2020-01-26,03:25,A,100,6.0NRT,310.2,286.7,D
-35.278,149.967,331.3,2.2,1.4,2020-01-26,03:25,A,51,6.0NRT,315,30.5,D
-35.289,149.975,329.7,2.2,1.4,2020-01-26,03:25,A,70,6.0NRT,313,26.6,D
-35.739,149.802,337,2.2,1.5,2020-01-26,03:25,A,83,6.0NRT,314.2,66.5,D
-35.766,149.806,346.4,2.2,1.5,2020-01-26,03:25,A,92,6.0NRT,309.9,126.6,D
-35.764,149.832,364.5,2.2,1.4,2020-01-26,03:25,A,100,6.0NRT,307.9,267.7,D
-35.76,149.882,361.1,2.2,1.4,2020-01-26,03:25,A,100,6.0NRT,308.6,239.8,D
-35.758,149.905,333.5,2.2,1.4,2020-01-26,03:25,A,80,6.0NRT,304.2,67.1,D
-35.779,149.808,340.4,2.2,1.5,2020-01-26,03:25,A,84,6.0NRT,306.7,96.2,D
-35.777,149.833,363.7,2.2,1.4,2020-01-26,03:25,A,100,6.0NRT,306.6,266.2,D
-35.773,149.885,338.6,2.2,1.4,2020-01-26,03:25,A,86,6.0NRT,304.6,91.1,D
-35.771,149.907,338.3,2.2,1.4,2020-01-26,03:25,A,85,6.0NRT,304.8,92,D
-35.788,149.861,342.8,2.2,1.4,2020-01-26,03:25,A,89,6.0NRT,302.3,117.5,D
-35.819,149.639,359,2.3,1.5,2020-01-26,03:25,A,99,6.0NRT,314.9,231.6,D
-35.817,149.666,356.1,2.3,1.5,2020-01-26,03:25,A,98,6.0NRT,305.4,211.5,D
-35.832,149.641,361.5,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,313.9,251.8,D
-35.83,149.668,381.3,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,304.3,488.8,D
-35.846,149.642,339.5,2.3,1.5,2020-01-26,03:25,A,70,6.0NRT,316.2,86.6,D
-35.844,149.669,382.4,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,312.5,504.8,D
-35.842,149.692,335.6,2.3,1.5,2020-01-26,03:25,A,83,6.0NRT,300,93,D
-35.823,149.914,325.4,2.2,1.4,2020-01-26,03:25,A,59,6.0NRT,300,43.6,D
-35.814,149.646,343,2.3,1.5,2020-01-26,03:25,A,76,6.0NRT,311.9,112.1,D
-35.886,148.829,326.3,2.6,1.6,2020-01-26,03:25,A,46,6.0NRT,310.4,44.8,D
-35.828,149.647,388.8,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,313.4,596.4,D
-35.826,149.674,361.1,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,302.1,254.6,D
-35.817,149.795,333.3,2.3,1.5,2020-01-26,03:25,A,40,6.0NRT,302,69.3,D
-35.841,149.649,364.7,2.3,1.5,2020-01-26,03:25,A,100,6.0NRT,314.8,278.8,D
